序号,汉字,Unicode,Unicode十六进制,拼音首字母,笔画数估算
678,丰,20016,U+4E30,?,5-15
679,丹,20025,U+4E39,?,5-15
680,丽,20029,U+4E3D,?,5-15
681,之,20043,U+4E4B,?,5-15
682,乌,20044,U+4E4C,?,5-15
683,乡,20065,U+4E61,?,5-15
684,乾,20094,U+4E7E,?,5-15
685,互,20114,U+4E92,?,5-15
686,亓,20115,U+4E93,?,5-15
687,井,20117,U+4E95,?,5-15
688,交,20132,U+4EA4,?,5-15
689,亭,20141,U+4EAD,?,5-15
690,亳,20147,U+4EB3,?,5-15
691,什,20160,U+4EC0,?,5-15
692,介,20171,U+4ECB,?,5-15
693,仓,20179,U+4ED3,?,5-15
694,仔,20180,U+4ED4,?,5-15
695,仙,20185,U+4ED9,?,5-15
696,令,20196,U+4EE4,?,5-15
697,任,20219,U+4EFB,?,5-15
698,伊,20234,U+4F0A,?,5-15
699,伍,20237,U+4F0D,?,5-15
700,休,20241,U+4F11,?,5-15
701,佳,20339,U+4F73,?,5-15
702,依,20381,U+4F9D,?,5-15
703,俱,20465,U+4FF1,?,5-15
704,偃,20547,U+5043,?,8-20
705,傲,20658,U+50B2,?,8-20
706,元,20803,U+5143,?,8-20
707,兄,20804,U+5144,?,8-20
708,充,20805,U+5145,?,8-20
709,兆,20806,U+5146,?,8-20
710,兖,20822,U+5156,?,8-20
711,公,20844,U+516C,?,8-20
712,兴,20852,U+5174,?,8-20
713,兵,20853,U+5175,?,8-20
714,冈,20872,U+5188,?,8-20
715,冕,20885,U+5195,?,8-20
716,农,20892,U+519C,?,8-20
717,冠,20896,U+51A0,?,8-20
718,冶,20918,U+51B6,?,8-20
719,凌,20940,U+51CC,?,8-20
720,刊,21002,U+520A,?,8-20
721,利,21033,U+5229,?,8-20
722,剑,21073,U+5251,?,8-20
723,务,21153,U+52A1,?,8-20
724,劲,21170,U+52B2,?,8-20
725,劳,21171,U+52B3,?,8-20
726,勇,21191,U+52C7,?,8-20
727,勒,21202,U+52D2,?,8-20
728,化,21270,U+5316,?,8-20
729,华,21326,U+534E,?,8-20
730,博,21338,U+535A,?,8-20
731,卡,21345,U+5361,?,8-20
732,卫,21355,U+536B,?,8-20
733,原,21407,U+539F,?,8-20
734,及,21450,U+53CA,?,8-20
735,友,21451,U+53CB,?,8-20
736,古,21476,U+53E4,?,8-20
737,句,21477,U+53E5,?,8-20
738,同,21516,U+540C,?,8-20
739,吾,21566,U+543E,?,8-20
740,咸,21688,U+54B8,?,8-20
741,哥,21733,U+54E5,?,8-20
742,商,21830,U+5546,?,8-20
743,喀,21888,U+5580,?,8-20
744,善,21892,U+5584,?,8-20
745,嘴,22068,U+5634,?,8-20
746,团,22242,U+56E2,?,8-20
747,固,22266,U+56FA,?,8-20
748,圆,22278,U+5706,?,8-20
749,圈,22280,U+5708,?,8-20
750,土,22303,U+571F,?,8-20
751,圣,22307,U+5723,?,8-20
752,圳,22323,U+5733,?,8-20
753,坊,22346,U+574A,?,8-20
754,坛,22363,U+575B,?,8-20
755,坦,22374,U+5766,?,8-20
756,坻,22395,U+577B,?,8-20
757,垣,22435,U+57A3,?,8-20
758,垦,22438,U+57A6,?,8-20
759,垫,22443,U+57AB,?,8-20
760,垭,22445,U+57AD,?,8-20
761,城,22478,U+57CE,?,8-20
762,埗,22487,U+57D7,?,8-20
763,埠,22496,U+57E0,?,8-20
764,基,22522,U+57FA,?,8-20
765,堂,22530,U+5802,?,8-20
766,堡,22561,U+5821,?,8-20
767,堰,22576,U+5830,?,8-20
768,塔,22612,U+5854,?,8-20
769,塘,22616,U+5858,?,8-20
770,塞,22622,U+585E,?,8-20
771,墨,22696,U+58A8,?,8-20
772,墩,22697,U+58A9,?,8-20
773,士,22763,U+58EB,?,8-20
774,壶,22774,U+58F6,?,8-20
775,备,22791,U+5907,?,8-20
776,太,22826,U+592A,?,8-20
777,头,22836,U+5934,?,8-20
778,夷,22839,U+5937,?,8-20
779,奇,22855,U+5947,?,8-20
780,奉,22857,U+5949,?,8-20
781,奎,22862,U+594E,?,8-20
782,如,22914,U+5982,?,8-20
783,姑,22993,U+59D1,?,8-20
784,姚,23002,U+59DA,?,8-20
785,姜,23004,U+59DC,?,8-20
786,娄,23044,U+5A04,?,8-20
787,嫂,23234,U+5AC2,?,8-20
788,孔,23380,U+5B54,?,8-20
789,孝,23389,U+5B5D,?,8-20
790,孟,23391,U+5B5F,?,8-20
791,学,23398,U+5B66,?,8-20
792,宏,23439,U+5B8F,?,8-20
793,宜,23452,U+5B9C,?,8-20
794,宝,23453,U+5B9D,?,8-20
795,实,23454,U+5B9E,?,8-20
796,审,23457,U+5BA1,?,8-20
797,宣,23459,U+5BA3,?,8-20
798,宫,23467,U+5BAB,?,8-20
799,家,23478,U+5BB6,?,8-20
800,容,23481,U+5BB9,?,8-20
801,宾,23486,U+5BBE,?,8-20
802,宿,23487,U+5BBF,?,8-20
803,富,23500,U+5BCC,?,8-20
804,寨,23528,U+5BE8,?,8-20
805,寮,23534,U+5BEE,?,8-20
806,寺,23546,U+5BFA,?,8-20
807,寿,23551,U+5BFF,?,8-20
808,封,23553,U+5C01,?,8-20
809,尉,23561,U+5C09,?,8-20
