序号,汉字,Unicode,Unicode十六进制,来源,出现次数
4273,绳,32499,U+7EF3,追加字库; 合并字库; GB2312,3
4274,维,32500,U+7EF4,合并字库; GB2312,2
4275,绵,32501,U+7EF5,合并字库; GB2312,2
4276,绶,32502,U+7EF6,追加字库; 合并字库; GB2312,3
4277,绷,32503,U+7EF7,追加字库; 合并字库; GB2312,3
4278,绸,32504,U+7EF8,合并字库; GB2312,2
4279,绺,32506,U+7EFA,追加字库; 合并字库; GB2312,3
4280,绻,32507,U+7EFB,追加字库; 合并字库; GB2312,3
4281,综,32508,U+7EFC,追加字库; 合并字库; GB2312,3
4282,绽,32509,U+7EFD,追加字库; 合并字库; GB2312,3
4283,绾,32510,U+7EFE,追加字库; 合并字库; GB2312,3
4284,绿,32511,U+7EFF,合并字库; GB2312,2
4285,缀,32512,U+7F00,追加字库; 合并字库; GB2312,3
4286,缁,32513,U+7F01,追加字库; 合并字库; GB2312,3
4287,缂,32514,U+7F02,追加字库; 合并字库; GB2312,3
4288,缃,32515,U+7F03,追加字库; 合并字库; GB2312,3
4289,缄,32516,U+7F04,追加字库; 合并字库; GB2312,3
4290,缅,32517,U+7F05,追加字库; 合并字库; GB2312,3
4291,缆,32518,U+7F06,追加字库; 合并字库; GB2312,3
4292,缇,32519,U+7F07,追加字库; 合并字库; GB2312,3
4293,缈,32520,U+7F08,追加字库; 合并字库; GB2312,3
4294,缉,32521,U+7F09,追加字库; 合并字库; GB2312,3
4295,缋,32523,U+7F0B,追加字库; 合并字库; GB2312,3
4296,缌,32524,U+7F0C,追加字库; 合并字库; GB2312,3
4297,缍,32525,U+7F0D,追加字库; 合并字库; GB2312,3
4298,缎,32526,U+7F0E,合并字库; GB2312,2
4299,缏,32527,U+7F0F,追加字库; 合并字库; GB2312,3
4300,缑,32529,U+7F11,追加字库; 合并字库; GB2312,3
4301,缒,32530,U+7F12,追加字库; 合并字库; GB2312,3
4302,缓,32531,U+7F13,追加字库; 合并字库; GB2312,3
4303,缔,32532,U+7F14,追加字库; 合并字库; GB2312,3
4304,缕,32533,U+7F15,追加字库; 合并字库; GB2312,3
4305,编,32534,U+7F16,追加字库; 合并字库; GB2312,3
4306,缗,32535,U+7F17,追加字库; 合并字库; GB2312,3
4307,缘,32536,U+7F18,追加字库; 合并字库; GB2312,3
4308,缙,32537,U+7F19,追加字库; 合并字库; GB2312,3
4309,缚,32538,U+7F1A,追加字库; 合并字库; GB2312,3
4310,缛,32539,U+7F1B,追加字库; 合并字库; GB2312,3
4311,缜,32540,U+7F1C,追加字库; 合并字库; GB2312,3
4312,缝,32541,U+7F1D,追加字库; 合并字库; GB2312,3
4313,缟,32543,U+7F1F,追加字库; 合并字库; GB2312,3
